day,date,base_region_1,base_region_2,base_region_3,base_region_4,base_state,now_region_1,now_region_2,now_region_3,now_region_4,now_state,now_1_p,now_2_p,now_3_p,now_4_p,now_5_p
Fri,2021-12-24,10550.0,7038.0,11855.0,11989.0,10877.0,9989.0,6968.0,10290.0,11164.0,9940.0,-0.053175355450236994,-0.00994600738846263,-0.13201180936313794,-0.06881307865543418,-0.08614507676749106
Sat,2021-12-25,7592.0,5367.0,8820.0,8824.0,8061.0,7043.0,5182.0,7305.0,8196.0,7143.0,-0.07231296101159113,-0.03446990870132294,-0.17176870748299322,-0.07116953762466005,-0.11388165240044656
Sun,2021-12-26,9828.0,7491.0,9438.0,9819.0,9324.0,11437.0,8147.0,10207.0,9701.0,10008.0,0.16371591371591365,0.08757175276999063,0.08147912693367232,-0.012017517058763638,0.07335907335907343
Mon,2021-12-27,14266.0,9363.0,14905.5,14163.5,13713.0,13475.0,9102.0,12584.0,12085.0,12128.0,-0.05544651619234542,-0.027875680871515485,-0.1557478782999564,-0.14675045010061072,-0.11558375264347698
Tue,2021-12-28,13825.8653630679,9158.76011103038,14788.1659531091,14209.3881916403,13564.7400545366,13347.0,8923.0,13140.0,12515.0,12435.0,-0.034635471306343035,-0.02574148773112228,-0.11145168091399371,-0.1192442748968704,-0.08328505006321663
Wed,2021-12-29,14131.5,9211.0,14895.0,14353.5,13709.0,12939.0,8619.0,12901.0,11896.0,12077.0,-0.08438594629020268,-0.06427098034958201,-0.1338704263175562,-0.17121259623088447,-0.11904588226712376
Thu,2021-12-30,14187.4816104539,9222.55871499062,14895.0,14353.5,13709.0,13897.0,9232.0,14301.0,13232.0,13256.0,-0.020474501284277413,0.0010237164436841528,-0.039879154078549806,-0.07813425296965892,-0.033043985702822964
Fri,2021-12-31,11971.3337369202,8438.6732882695,12898.2,11921.6,11795.3990997695,11221.0,7584.0,11310.0,10903.0,10670.0,-0.06267753897847927,-0.10128052823867117,-0.12313346048285811,-0.08544155146960142,-0.09541000607529182
Sat,2022-01-01,9434.3,6581.65,9996.6,8988.6,9129.24655654352,9142.0,6420.0,8223.0,7388.0,7941.0,-0.030982690819668535,-0.024560710460142965,-0.17742032290978937,-0.17806999977749594,-0.13015822819374145
Sun,2022-01-02,10377.4,7421.4,11087.4,9989.4,10132.5027517505,10802.0,7571.0,9639.0,7601.0,9097.0,0.04091583633665463,0.02015792168593533,-0.13063477460901562,-0.23909343904538805,-0.10219614809101396
Mon,2022-01-03,13563.9,8838.5,14676.4,13514.2,13268.688852578,11045.0,8031.0,11522.0,11777.0,10972.0,-0.18570617595234407,-0.09136165638965887,-0.21493009184813716,-0.1285462698494917,-0.17309086663312412
Tue,2022-01-04,13707.8,8675.6,15102.4,14034.6,13562.7778382543,12508.0,8447.0,13047.0,12786.0,12222.0,-0.08752680955368475,-0.026349762552446032,-0.13609757389553978,-0.08896584156299436,-0.09885717028207808
Wed,2022-01-05,13825.1,8905.2,15062.6,14281.2,13633.7200794879,12950.0,8513.0,13631.0,13289.0,12685.0,-0.06329791466246182,-0.04404168351075788,-0.09504335240927864,-0.06947595440159093,-0.06958629588671561
Thu,2022-01-06,14080.9,9082.8,15321.8,14280.8,13840.2201557089,9460.0,6975.0,4997.0,9331.0,6954.0,-0.3281679438104098,-0.23206500198176772,-0.6738633841976791,-0.3466052321998767,-0.4975513451546093
Fri,2022-01-07,14686.0,9473.65,15587.4,14564.8,14184.4945852565,9843.0,7687.0,5367.0,12623.0,8029.0,-0.32976984883562577,-0.18859151435824628,-0.6556834366218869,-0.1333214324947819,-0.4339593877144259
Sat,2022-01-08,11355.0,7603.0,12523.0,11332.0,11265.0,10400.0,7322.0,9427.0,10516.0,9500.0,-0.08410391897842362,-0.03695909509404183,-0.2472251058053182,-0.07200847158489232,-0.1566799822458944
Sun,2022-01-09,9766.2,6660.05,10782.0,9598.6,9692.92044763896,8139.0,5795.0,8386.0,8256.0,7930.0,-0.16661546968114527,-0.1298864122641722,-0.2222222222222222,-0.13987456504073514,-0.18187711919872196
Mon,2022-01-10,13110.5,8503.7,14765.4,13603.6,13196.4340502369,12027.0,7933.0,13117.0,12571.0,12028.0,-0.08264368254452537,-0.06711196302785849,-0.11163937312907202,-0.0759063777235438,-0.08854165040258921
Tue,2022-01-11,13231.0,8589.1,15001.8,14130.6,13428.2867042363,12688.0,8239.0,13681.0,13138.0,12576.0,-0.041039981860781505,-0.040760964478234074,-0.0880427682011492,-0.07024471713869196,-0.06346950456214373
Wed,2022-01-12,13328.3,8799.65,14741.8,13826.6,13300.2379644561,12600.0,8244.0,13473.0,13000.0,12435.0,-0.05464312778073721,-0.06314455688578524,-0.0860681870599248,-0.05978331621656807,-0.06505432209321249
Thu,2022-01-13,13917.4,9309.95,15240.0,14121.8,13782.7508586189,12915.0,8479.0,13949.0,13687.0,12891.0,-0.07202494718841157,-0.08925397021466286,-0.08471128608923884,-0.03078927615459781,-0.06470049903436026
Fri,2022-01-14,14918.1,10102.15,16074.6,15137.4,14657.7599038547,13780.0,8899.0,14761.0,14503.0,13656.0,-0.07628987605660242,-0.11909840974446029,-0.08171898523135879,-0.041909442836946864,-0.06834331510582714
Sat,2022-01-15,10416.9,7212.1,12087.2,10961.4,10762.9750861776,10659.0,7159.0,11105.0,9787.0,10161.0,0.02324107939982145,-0.007362626696801211,-0.08125951419683641,-0.10713959895633762,-0.05593017556555424
